Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area
Plasmodium ovale	328	9.19931619912077e-4	543	1.5229355780861518e-5	1.6554878048780488
Providencia alcalifaciens	463	0.011452101769856782	463	1.1452101769856781e-4	1
Providencia rettgeri	1500	0.03223360163867035	1500	3.223360163867035e-4	1
Providencia sneebia	19425	0.4985725553325704	20584	0.0052832007613722665	1.0596653796653797
Providencia stuartii	579	0.012970802030165741	579	1.297080203016574e-4	1
Pseudomonas aeruginosa	5028	0.07959411434134603	5355	8.477058120483454e-4	1.0650357995226731
Pseudomonas alcaligenes	712	0.014761402250284552	712	1.4761402250284552e-4	1
Pseudomonas alcaliphila	555	0.010503975044826424	555	1.0503975044826424e-4	1
Pseudomonas asiatica	1129	0.018476783160957	1129	1.8476783160957e-4	1
Pseudomonas capeferrum	616	0.01036959701490276	616	1.036959701490276e-4	1
Pseudomonas cedrina subsp. cedrina	533	0.008182919100560553	727	1.1161317422340567e-4	1.3639774859287055
Pseudomonas chengduensis	497	0.009181489599699985	497	9.181489599699985e-5	1
Pseudomonas citronellolis	597	0.008293391000878933	597	8.293391000878933e-5	1
Pseudomonas composti	1000	0.0185442950886918	1000	1.85442950886918e-4	1
Pseudomonas entomophila	996	0.016913520287733623	996	0.00016913520287733621	1
Pseudomonas flavescens	1142	0.019502498437409276	1142	1.9502498437409276e-4	1
Pseudomonas guguanensis	2273	0.04470738690732472	2273	4.4707386907324716e-4	1
Pseudomonas hunanensis	895	0.01346994111152449	895	1.346994111152449e-4	1
Pseudomonas indoloxydans	1244	0.02392468263735393	1244	2.392468263735393e-4	1
Pseudomonas japonica	848	0.012726751541692867	848	1.2726751541692867e-4	1
Pseudomonas mediterranea	338	0.0053483619138401045	837	1.324431633693541e-4	2.4763313609467454
Pseudomonas mendocina	1871	0.03650951120574661	1871	3.650951120574661e-4	1
Pseudomonas monteilii	3583	0.05679446822196539	3583	5.67944682219654e-4	1
Pseudomonas mosselii	845	0.013496582888824575	845	1.3496582888824574e-4	1
Pseudomonas oryzihabitans	2497	0.04966594332473412	2497	4.966594332473412e-4	1
Pseudomonas plecoglossicida	548	0.010247643275797554	548	1.0247643275797553e-4	1
Pseudomonas psychrotolerans	645	0.011253009525803413	645	1.1253009525803412e-4	1
Pseudomonas putida	1198	0.01945847297115777	1198	1.9458472971157768e-4	1
Pseudomonas reidholzensis	368	0.005971504564387667	368	5.9715045643876665e-5	1
Pseudomonas saudiphocaensis	288	0.007839381951837341	572	1.5569883598788052e-4	1.9861111111111112
Pseudomonas seleniipraecipitans	529	0.011636186383990192	827	1.8191164725065952e-4	1.563327032136106
